C_p_avg,C_n_avg,δ_SEI_nm,c_f_Ah,P_kW,ΔC_p_avg,ΔC_n_avg,Δδ_SEI_pm,Δc_f_μAh
2484.0,17982.8,2.0,33.7,-35.2,-14.488410113136423,41.25472172102915,3.3123954200814435e-7,2.342981438165567e-6
4450.5,15329.6,6.1,14.7,-37.6,-15.91565381334924,45.31869707929991,5.69836537068979e-7,4.030667416839792e-6
4657.5,22110.0,21.3,34.6,24.9,-14.593988694481459,41.555349254282234,4.8587282710299576e-8,3.4367606243802766e-7
2277.0,22404.8,31.1,12.4,-37.7,-12.295194368835428,35.00969521371515,3.7794370961181416e-8,2.673337521611914e-7
8280.0,23584.0,24.200000000000003,47.5,-23.3,-12.074171778719982,34.380349041292554,3.339659135237866e-8,2.3622660858135105e-7
7038.000000000001,11202.4,5.0,13.9,-1.9,-15.247804531301801,43.41704354608167,1.763628760638751e-6,1.2474807279771986e-5
7762.5,18867.2,20.7,23.5,6.4,-13.432192435897607,38.24721668694286,1.3746986926206723e-7,9.723759127168201e-7
5278.5,10023.2,31.0,3.3,-20.8,-14.476523393297903,41.22087512811979,9.138748035502264e-7,6.4641790305118165e-6
7244.999999999999,7959.6,26.9,49.5,-33.1,-13.594122866630162,38.70830212046035,1.8680815573317685e-6,1.3213641062515847e-5
7038.000000000001,9433.6,15.3,27.3,40.3,-14.457093213038087,41.16554906587747,1.8909975725049317e-6,1.337573462737811e-5
6313.5,18867.2,25.2,7.7,40.8,-14.451144132287675,41.14860947974873,1.0928965906715948e-7,7.730467233030466e-7
2070.0,9728.4,38.6,9.0,17.5,-11.964128524706334,34.06700866879835,9.672237851387048e-7,6.84153637392877e-6
8176.5,19751.600000000002,23.599999999999998,47.0,3.5,-12.661829082190007,36.05366159475472,1.018528537852984e-7,7.204434120286224e-7
7244.999999999999,15624.400000000001,31.1,29.0,-38.4,-13.632416165588667,38.8173395772928,2.3188128852307802e-7,1.64018326910417e-6
